DTYYYYMMDD,Close
20171213,30.55
20171212,30.75
20171211,30.55
20171208,31.2
20171207,31.2
20171206,31.15
20171205,31.9
20171204,32.35
20171201,32
20171130,32.1
20171129,32.1
20171128,31.8
20171127,32.2
20171124,31.35
20171123,31.2
20171122,30.95
20171121,31.4
20171120,31.3
20171117,30.4
20171116,31
20171115,31
20171114,29.75
20171113,28.1
20171110,30.2
20171109,30.05
20171108,30
20171107,30.9
20171106,30.8
20171103,30.5
20171102,30
20171101,30.45
20171031,30.3
20171030,30.9
20171027,32.8
20171026,33.25
20171025,33.85
20171024,33.55
20171023,33.3
20171020,34
20171019,34.65
20171018,34.9
20171017,35.25
20171016,34.7
20171013,34.7
20171012,34.65
20171011,34.75
20171010,35.15
20171009,34.35
20171006,33.95
20171005,34
20171004,34.3
20171003,33.4
20171002,33.85
20170929,34.25
20170928,33.95
20170927,34.7
20170926,34.7
20170925,35.1
20170922,35.35
20170921,35
20170920,34.7
20170919,34.6
20170918,34.8
20170915,35.3
20170914,34.55
20170913,35.1
20170912,34.8
20170911,32.65
20170908,32.6
20170907,33.05
20170906,32.45
20170905,32.05
20170901,32.45
20170831,32.4
20170830,32.1
20170829,32.2
20170828,31.9
20170825,31.95
20170824,32.15
20170823,32.1
20170822,32
20170821,32.8
20170818,33
20170817,33.1
20170816,33.85
20170815,33.1
20170814,33.4
20170811,32.2
20170810,32.2
20170809,32.2
20170808,32.6
20170807,32.25
20170804,32.2
20170803,32.6
20170802,32.2
20170801,32.3
20170731,32.9
20170728,33.25
20170727,33.2
20170726,33
20170725,32.35
20170724,31.6
20170721,32.1
20170720,32.8
20170719,32.4
20170718,31.5
20170717,32.7
20170714,33.8
20170713,34.15
20170712,33.7
20170711,33.4
20170710,33.8
20170707,34.4
20170706,34.7
20170705,34.3
20170704,33.75
20170703,34.2
20170630,34.55
20170629,35
20170628,34.4
20170627,34.4
20170626,35.1
20170623,35.1
20170622,35
20170621,35.2
20170620,33.3
20170619,33
20170616,31.2
20170615,31.35
20170614,31.4
20170613,31.3
20170612,30.7
20170609,32
20170608,32
20170607,32.5
20170606,32.5
20170605,32.2
20170602,32.3
20170601,32.3
20170531,30.5
20170530,31.35
20170529,33.7
20170526,33
20170525,32.5
20170524,32.4
20170523,30.3
20170522,30
20170519,30.55
20170518,29.1
20170517,29.65
20170516,28.8
20170515,30.3
20170512,30.9
20170511,31
20170510,29.75
20170509,28.6
20170508,28.55
20170505,28
20170504,27
20170503,27.6
20170428,25.8
20170427,25.55
20170426,25.4
20170425,25
20170424,25
20170421,24.85
20170420,25
20170419,25
20170418,25
20170417,24.3
20170414,25.35
20170413,25.4
20170412,26
20170411,25.5
20170410,25.7
20170407,25.35
20170405,25.1
20170404,24.8
20170403,24.2
20170331,24.5
20170330,24.35
20170329,24
20170328,23.75
20170327,23.7
20170324,24.1
20170323,24.25
20170322,24.25
20170321,24.25
20170320,24.75
20170317,24.75
20170316,24.25
20170315,24.2
20170314,24.6
20170313,24.45
20170310,25.05
20170309,25.4
20170308,25
20170307,25.85
20170306,25.8
20170303,26.55
20170302,26.05
20170301,25.2
20170228,25
20170227,25.8
20170224,26.25
20170223,26.5
20170222,26.3
20170221,26.5
20170220,26.8
20170217,26
20170216,25.1
20170215,25.9
20170214,25.2
20170213,24.65
20170210,23.55
20170209,23.45
20170208,23.6
20170207,23.9
20170206,23.7
20170203,23.35
20170202,23.4
20170125,21.9
20170124,21.8
20170123,22.65
20170120,22.7
20170119,23.7
20170118,23.25
20170117,25
20170116,23.5
20170113,24.8
20170112,25.2
20170111,24.95
20170110,25.2
20170109,26
20170106,24.5
20170105,25.4
20170104,24.9
20170103,24.6
20161230,23.4
20161229,22.25
20161228,23
20161227,23.4
20161226,23.5
20161223,24
20161222,24.7
20161221,24.9
20161220,24.9
20161219,25
20161216,25
20161215,25
20161214,25
20161213,25
20161212,25
20161209,26.1
20161208,27.2
20161207,27.1
20161206,27.2
20161205,27.3
20161202,28.2
20161201,28.2
20161130,29.4
20161129,29.4
20161128,29.4
20161125,29.9
20161117,29.3
20161116,28.8
20161115,28.9
20161114,28.8
20161111,29
20161110,29.1
20161109,29
20161108,29.3
20161107,29.5
20161104,28.4
20161103,28.4
20161102,29
20161101,29.5
20161031,29.5
20161028,29.5
20161027,29.6
20161026,29.7
20161025,29.6
20161024,29.8
20161021,30
20161020,30.8
20161019,31.1
20161018,31.1
20161017,30.9
20161014,31.4
20161013,31.4
20161012,31.4
20161011,31.1
20161010,31
20161007,31
20161006,31
20161005,30.5
20161004,30.4
20161003,30.7
20160930,30.7
20160929,31.1
20160928,30.9
20160927,30.5
20160926,29.9
20160923,30.5
20160922,31.1
20160921,31
20160920,29.6
20160919,29.3
20160916,28.9
20160915,29.2
20160914,28.8
20160913,29
20160912,32
20160909,32.9
20160908,32.9
20160907,33
20160906,33
20160905,33.1
20160901,33
20160831,32.9
20160830,33.1
20160829,33.1
20160826,33.1
20160825,33.6
20160824,33.9
20160823,33.8
20160822,33.3
20160819,33.8
20160818,34.2
20160817,34
20160816,34.1
20160815,34
20160812,34
20160811,33.6
20160810,34.2
20160809,34.1
20160808,33.2
20160805,33.1
20160804,33.1
20160803,33.1
20160802,33
20160801,34
20160729,35.6
20160728,35.5
20160727,34.5
20160726,34
20160725,34.1
20160722,33.3
20160721,33.2
20160720,32.2
20160719,32.1
20160718,32.6
20160715,30
20160714,30
20160713,31
20160712,30.9
20160711,29.1
20160708,30.7
20160707,31.6
20160706,31
20160705,31.5
20160704,31.8
20160701,30.3
20160630,30
20160629,29.5
20160628,29.6
20160627,27.7
20160624,26.9
20160623,27.5
20160622,27.7
20160621,27.8
20160620,27.1
20160617,27.3
20160616,28.3
20160615,27.2
20160614,27.7
20160613,27.8
20160610,28.4
20160609,27.5
20160608,25
20160607,25.2
20160606,24.7
20160603,24.9
20160602,24.9
20160601,24.2
20160531,24.2
20160530,24.8
20160527,24.8
20160526,24.1
20160525,24.1
20160524,24.1
20160523,22.5
20160520,22.5
20160519,22.7
20160518,22.6
20160517,23.4
20160516,23.4
20160513,21.7
20160512,21.9
20160511,22
20160510,20.1
20160509,19.3
20160506,19.1
20160505,19.1
20160504,19.2
20160429,18.7
20160428,18.7
20160427,18.3
20160426,18.3
20160425,18.1
20160422,18.4
20160421,18.4
20160420,18.2
20160419,16.8
20160415,16.9
20160414,16.9
20160413,16.9
20160412,16.5
20160411,16.6
20160408,16.4
20160407,16.8
20160406,17.3
20160405,17.2
20160404,16.8
20160401,16.8
20160331,16.8
20160330,17.5
20160329,17
20160328,17
20160325,16.9
20160324,16.8
20160323,17.4
20160322,17.2
20160321,16.5
20160318,16.4
20160317,16.3
20160316,15.8
20160315,15.8
20160314,16
20160311,15.8
20160310,16
20160309,14.9
20160308,14.9
20160307,15
20160304,14.9
20160303,14.9
20160302,15
20160301,14.5
20160229,14.4
20160226,14.6
20160225,14.7
20160224,14.6
20160223,14.5
20160222,14.8
20160219,15
20160218,15.1
20160217,15
20160216,14.8
20160215,14.8
20160205,14.2
20160204,14.3
20160203,14.2
20160202,14.4
20160201,14.2
20160129,13.6
20160128,14.2
20160127,14.1
20160126,14
20160125,15.5
20160122,15.5
20160121,15.7
20160120,14.7
20160119,14.5
20160118,14.4
20160115,14.9
20160114,14.5
20160113,13.9
20160112,14.3
20160111,13.8
20160108,13.1
20160107,13.2
20160106,13.2
20160105,13.5
20160104,12.6
20151231,12.3
20151230,12.5
20151229,11.5
20151228,11.3
20151225,10.9
20151224,10.8
20151223,10.9
20151222,10.9
20151221,11
20151218,11.2
20151217,11.3
20151216,11.2
20151215,11.2
20151214,11.1
20151211,11.1
20151210,11
20151209,11.3
20151208,11.4
20151207,11.2
20151204,11.2
20151203,10.8
20151202,11
20151201,11
20151130,10.8
20151127,11.1
20151126,11.3
20151125,11.3
20151124,11.2
20151123,11.4
20151120,11.2
20151119,11
20151118,10.6
20151117,10.5
20151116,10.5
20151113,10.7
20151112,10.6
20151111,10.9
20151110,11.2
20151109,11.3
20151106,11.1
20151105,10.9
20151104,11
20151103,11.3
20151102,11.7
20151030,11.3
20151029,10.3
20151028,10.2
20151027,10.1
20151026,10.4
20151023,10.4
20151022,10.4
20151021,10.3
20151020,10.3
20151019,10.4
20151016,10.2
20151015,10.6
20151014,10.8
20151013,10.8
20151012,10.7
20151009,10.7
20151008,10.6
20151007,10.8
20151006,10.8
20151005,10.7
20151002,10.5
20151001,10.2
20150930,10.3
20150929,10.3
20150928,10.6
20150925,13.3
20150924,12.8
20150923,12.3
20150922,12.4
20150921,12.3
20150918,12.4
20150917,12.3
20150916,12.3
20150915,12.1
20150914,12.3
20150911,12.3
20150910,12
20150909,12.2
20150908,12.2
20150907,12.3
20150904,12.3
20150903,12.1
20150901,12
20150831,12.4
20150828,12.5
20150827,12.4
20150826,12.7
20150825,12.3
20150824,12
20150821,13.2
20150820,13.4
20150819,13.6
20150818,12.8
20150817,12.9
20150814,12.9
20150813,12.9
20150812,13.2
20150811,13.2
20150810,13.3
20150807,13.4
20150806,13.5
20150805,13.5
20150804,13.5
20150803,13.5
20150731,13.5
20150730,13.5
20150729,13.5
20150728,13.6
20150727,13.7
20150724,13.4
20150723,13.7
20150722,13.7
20150721,13.5
20150720,13.3
20150717,13.6
20150716,13.7
20150715,13.8
20150714,13.8
20150713,13.8
20150710,13.5
20150709,13.3
20150708,13.4
20150707,13.5
20150706,13.3
20150703,13.4
20150702,13.1
20150701,13
20150630,13
20150629,13
20150626,13
20150625,13
20150624,13.2
20150623,13.1
20150622,13.2
20150619,13.3
20150618,13.6
20150617,13.3
20150616,13
20150615,13.2
20150612,13.4
20150611,13.7
20150610,13.7
20150609,13.7
20150608,14.2
20150605,13.2
20150604,13
20150603,13.1
20150602,13
20150601,13.2
20150529,13.3
20150528,13.3
20150527,13.1
20150526,13.2
20150525,13.3
20150522,13
20150521,12.9
20150520,13
20150519,12.7
20150518,13
20150515,13.6
20150514,13.7
20150513,13.5
20150512,13.1
20150511,13
20150508,13
20150507,13
20150506,12.7
20150505,12.9
20150504,13
20150427,13
20150424,13
20150423,12.9
20150422,13
20150421,13
20150420,13
20150417,13
20150416,12.4
20150415,12.6
20150414,12.5
20150413,12.5
20150410,12.8
20150409,13
20150408,12.7
20150407,12.5
20150406,12.4
20150403,12.4
20150402,12.5
20150401,12.3
20150331,12.6
20150330,12.4
20150327,12.8
20150326,13
20150325,13
20150324,13.1
20150323,13
20150320,13.1
20150319,13.1
20150318,12.9
20150317,13.1
20150316,13
20150313,13.2
20150312,13.3
20150311,13.3
20150310,13.4
20150309,13.4
20150306,13.6
20150305,13.7
20150304,13.5
20150303,13.5
20150302,13.3
20150227,13.6
20150226,13
20150225,13.1
20150224,13.1
20150213,13
20150212,13
20150211,12.9
20150210,13
20150209,13
20150206,13
20150205,12.9
20150204,13
20150203,12.9
20150202,13
20150130,13
20150129,13.3
20150128,13.2
20150127,13.3
20150126,13.6
20150123,13.5
20150122,13.5
20150121,13.4
20150120,13.4
20150119,13.6
20150116,13.7
20150115,13.7
20150114,13.8
20150113,13.8
20150112,13.5
20150109,13.9
20150108,14.2
20150107,14.5
20150106,14
20150105,13.8
20141231,13.9
20141230,13.4
20141229,13.1
20141226,13.5
20141225,13.6
20141224,13.8
20141223,13.7
20141222,14.3
20141219,13.2
20141218,14.1
20141217,15.6
20141216,16.1
20141215,16.7
20141212,16.7
20141211,16.6
20141210,17
20141209,16.3
20141208,17.6
20141205,17.4
20141204,17.5
20141203,17.8
20141202,17.9
20141201,17.7
20141128,17.7
20141127,16.7
20141126,16.2
20141125,16.5
20141124,16.5
20141121,16.3
20141120,16
20141119,15.9
20141118,16
20141117,15.8
20141114,15.8
20141113,16.1
20141112,16.1
20141111,15.8
20141110,16.2
20141107,16.2
20141106,16.2
20141105,15.6
20141104,15.6
20141103,15.8
20141031,15.6
20141030,15.4
20141029,15.5
20141028,15.1
20141027,15.2
20141024,15.5
20141023,15.5
20141022,15.7
20141021,15.6
20141020,15.5
20141017,15.6
20141016,15.3
20141015,15.9
20141014,15.9
20141013,16.3
20141010,16.1
20141009,16.4
20141008,16.4
20141007,16.3
20141006,16.7
20141003,16.7
20141002,16.5
20141001,16.1
20140930,15.7
20140929,15.8
20140926,16
20140925,16.2
20140924,16.2
20140923,16.1
20140922,16.3
20140919,16.6
20140918,16.7
20140917,16.5
20140916,16.7
20140915,16.7
20140912,16.8
20140911,16.7
20140910,16.8
20140909,16.7
20140908,17.4
20140905,16.7
20140904,16.6
20140903,16.9
20140829,16.8
20140828,16.8
20140827,16.5
20140826,17.1
20140825,20.4
20140822,20
20140821,20.4
20140820,20.6
20140819,20.7
20140818,21.3
20140815,21
20140814,21.5
20140813,20.9
20140812,19
20140811,19.2
20140808,19.3
20140807,18.7
20140806,18.7
20140805,18.7
20140804,18.4
20140801,18.3
20140731,18.4
20140730,18.3
20140729,18.5
20140728,18.5
20140725,19
20140724,19.5
20140723,19.2
20140722,19.3
20140721,19.3
20140718,19.6
20140717,19.6
20140716,19.6
20140715,19.7
20140714,19.6
20140711,19.4
20140710,19.7
20140709,20.3
20140708,19.8
20140707,19.2
20140704,19.2
20140703,19.2
20140702,18.7
20140701,18.1
20140630,18
20140627,18
20140626,18.2
20140625,18.1
20140624,17.8
20140623,17.6
20140620,17.7
20140619,17.8
20140618,17.9
20140617,18.6
20140616,18.6
20140613,18.7
20140612,18.6
20140611,18.8
20140610,18.5
20140609,18.4
20140606,18.4
20140605,18.1
20140604,17.9
20140603,18.1
20140602,18
20140530,18.5
20140529,18.9
20140528,19.4
20140527,18.3
20140526,17.9
20140523,17.8
20140522,17.9
20140521,18.5
20140520,18
20140519,16.8
20140516,16.7
20140515,16.2
20140514,16.6
20140513,15.7
20140512,15.5
20140509,16.8
20140508,16.2
20140507,18
20140506,18.2
20140505,18.3
20140429,19.6
20140428,19.4
20140425,19.5
20140424,19.4
20140423,19.5
20140422,20
20140421,19.5
20140418,20.4
20140417,21.5
20140416,20.8
20140415,21.5
20140414,22.6
20140411,23
20140410,23.4
20140408,24
20140407,23
20140404,22.8
20140403,23.2
20140402,23
20140401,23.2
20140331,23.8
20140328,23.4
20140327,23.5
20140326,23.6
20140325,24.8
20140324,25.7
20140321,25.1
20140320,25
20140319,25
20140318,25
20140317,25
20140314,24.9
20140313,25.5
20140312,25.9
20140311,25.7
20140310,24.4
20140307,24.3
20140306,24.3
20140305,22.7
20140304,22.4
20140303,22
20140228,23.1
20140227,23.1
20140226,23.6
20140225,23.9
20140224,23.9
20140221,23.8
20140220,22.7
20140219,24.6
20140218,24.2
20140217,24.1
20140214,23.4
20140213,23.4
20140212,23.7
20140211,23
20140210,24.1
20140207,22.9
20140206,23.4
20140127,23.2
20140124,22.9
20140123,23.2
20140122,22.5
20140121,22.1
20140120,20.1
20140117,20.6
20140116,20.9
20140115,20.7
20140114,19.4
20140113,18.6
20140110,18.6
20140109,18.8
20140108,18.1
20140107,18.2
20140106,18
20140103,17.5
20140102,17.6
20131231,17.7
20131230,17.1
20131227,17.7
20131226,17.7
20131225,18.1
20131224,18.1
20131223,18.1
20131220,18
20131219,18.2
20131218,17.8
20131217,17.8
20131216,17.5
20131213,17.4
20131212,17.3
20131211,17.2
20131210,17.7
20131209,17.8
20131206,18.1
20131205,18
20131204,18.1
20131203,17.5
20131202,16.9
20131129,16.9
20131128,17
20131127,16.9
20131126,16.9
20131125,16.9
20131122,17.1
20131121,17
20131120,17
20131119,16.9
20131118,16.4
20131115,15.9
20131114,15.8
20131113,15.9
20131112,16
20131111,16.4
20131108,15.9
20131107,16
20131106,15.9
20131105,15.8
20131104,15.9
20131101,15.5
20131031,15.6
20131030,15.6
20131029,15.8
20131028,15.5
20131025,16.2
20131024,16.5
20131023,16.5
20131022,16.1
20131021,16.3
20131018,16.5
20131017,16.1
20131016,15.7
20131015,15.6
20131014,15.2
20131011,15.6
20131010,15.7
20131009,15.2
20131008,15.3
20131007,15.5
20131004,14.7
20131003,14.7
20131002,14.6
20131001,14.2
20130930,13.6
20130927,13.5
20130926,13.7
20130925,13.4
20130924,13.2
20130923,13.1
20130920,13
20130919,13
20130918,12.9
20130917,12.9
20130916,13
20130913,13.1
20130912,13.2
20130911,13
20130910,13
20130909,12.9
20130906,13.2
20130905,13.2
20130904,13.2
20130903,13.3
20130830,13.4
20130829,13.2
20130828,13.3
20130827,13.5
20130826,13.6
20130823,13.5
20130822,13.5
20130821,13.7
20130820,13.6
20130819,13.7
20130816,13.4
20130815,13.4
20130814,13.3
20130813,13.3
20130812,13.4
20130809,13.4
20130808,13.3
20130807,13.3
20130806,13.3
20130805,13.3
20130802,13.4
20130801,13.4
20130731,13.3
20130730,13.2
20130729,13.1
20130726,13.3
20130725,13.4
20130724,13.4
20130723,13.8
20130722,13.8
20130719,13.7
20130718,13.6
20130717,13.6
20130716,13.5
20130715,13.6
20130712,13.5
20130711,13.2
20130710,13.3
20130709,13.2
20130708,13.2
20130705,13
20130704,13.3
20130703,13.4
20130702,13.5
20130701,13.3
20130628,13.3
20130627,13.4
20130626,13.3
20130625,13.3
20130624,13.6
20130621,13.7
20130620,13.7
20130619,13.8
20130618,13.9
20130617,13.9
20130614,14.4
20130613,14.5
20130612,15.4
20130611,15.4
20130610,15.4
20130607,15.5
20130606,15.3
20130605,15.4
20130604,15.1
20130603,15.5
20130531,15.6
20130530,15.6
20130529,15
20130528,14.7
20130527,14.6
20130524,14.4
20130523,14.3
20130522,14.5
20130521,14.2
20130520,14.1
20130517,14
20130516,13.9
20130515,13.7
20130514,13.6
20130513,13.9
20130510,13.9
20130509,13.9
20130508,13.8
20130507,13.8
20130506,14.1
20130503,13.8
20130502,13.5
20130426,13.6
20130425,13.7
20130424,13.5
20130423,13.5
20130422,13.4
20130418,13.6
20130417,13.9
20130416,13.7
20130415,13.6
20130412,14
20130411,14.4
20130410,14.3
20130409,14.9
20130408,14.4
20130405,14
20130404,13.7
20130403,13.7
20130402,13.7
20130401,13.9
20130329,13.4
20130328,13.5
20130327,13.7
20130326,13.7
20130325,13.8
20130322,13.7
20130321,13.9
20130320,13.8
20130319,13.8
20130318,13.8
20130315,13.9
20130314,13.8
20130313,13.8
20130312,14
20130311,14.2
20130308,13.9
20130307,13.6
20130306,13.8
20130305,13.6
20130304,13.8
20130301,14.4
20130228,14.4
20130227,14.3
20130226,14.3
20130225,14.9
20130222,14.5
20130221,14.3
20130220,15.8
20130219,15.9
20130218,15
20130208,14.6
20130207,14.5
20130206,14.5
20130205,14.2
20130204,14.4
20130201,14.5
20130131,14.3
20130130,14.7
20130129,14.7
20130128,14.2
20130125,14.1
20130124,14
20130123,13.6
20130122,13.7
20130121,14.2
20130118,14.2
20130117,14.6
20130116,14.8
20130115,14.8
20130114,14.5
20130111,14.7
20130110,14.8
20130109,14.4
20130108,14.2
20130107,14.2
20130104,14.3
20130103,14.1
20130102,14.5
20121228,13.9
20121227,13.6
20121226,13.7
20121225,13.3
20121224,13.7
20121221,13.1
20121220,13.1
20121219,13.3
20121218,13.1
20121217,13.3
20121214,13.5
20121213,13.7
20121212,13.6
20121211,13.3
20121210,13.5
20121207,13.1
20121206,13.2
20121205,13.3
20121204,13.3
20121203,13
20121130,12.9
20121129,13.1
20121128,12.6
20121127,12.6
20121126,12.3
20121123,12.4
20121122,12.5
20121121,12.4
20121120,12.5
20121119,12.5
20121116,12.6
20121115,12.5
20121114,12.6
20121113,12.7
20121112,13
20121109,12.5
20121108,12.6
20121107,12.6
20121106,12.3
20121105,12.3
20121102,12.2
20121101,12.8
20121031,12.6
20121030,12.8
20121029,12.9
20121026,12.9
20121025,12.9
20121024,13.1
20121023,13.4
20121022,12.8
20121019,13.3
20121018,13.7
20121017,13.9
20121016,14.6
20121015,13.9
20121012,14.5
20121011,14.2
20121010,13.5
20121009,13.1
20121008,13.3
20121005,12.9
20121004,12.7
20121003,12.7
20121002,12.5
20121001,12.7
20120928,12.9
20120927,12.8
20120926,13.1
20120925,13.1
20120924,12.8
20120921,13.3
20120920,13.1
20120919,13.3
20120918,12.8
20120917,13.5
20120914,13.9
20120913,13.4
20120912,13
20120911,12.8
20120910,12.9
20120907,13.5
20120906,13.5
20120905,14.1
20120904,14.4
20120831,14.1
20120830,15.4
20120829,15.5
20120828,14.5
20120827,15.3
20120824,16.3
20120823,16.2
20120822,17.5
20120821,16.9
20120820,18.1
20120817,17
20120816,17
20120815,17
20120814,17
20120813,17
20120810,18.1
20120809,18.3
20120808,18.2
20120807,17.9
20120806,18.4
20120803,17.9
20120802,17.9
20120801,17.8
20120731,17.9
20120730,17.7
20120727,17.7
20120726,17.6
20120725,17.6
20120724,17.5
20120723,18.3
20120720,18.6
20120719,18.9
20120718,18.2
20120717,18.2
20120716,17.8
20120713,17.8
20120712,17.3
20120711,16.9
20120710,16.5
20120709,16.5
20120706,17
20120705,15.9
20120704,14.8
20120703,15.6
20120702,16.6
20120629,16.9
20120628,17.3
20120627,16.8
20120626,17.2
20120625,18
20120622,18.9
20120621,19.3
20120620,19.4
20120619,19.4
20120618,19.6
20120615,19.4
20120614,19.4
20120613,19.9
20120612,20
20120611,21.1
20120608,20.8
20120607,20.5
20120606,19.6
20120605,19.1
20120604,18.4
20120601,19.6
20120531,19.4
20120530,20.3
20120529,20.3
20120528,19.8
20120525,20.1
20120524,19.2
20120523,19.3
20120522,20.8
20120521,21
20120518,19.5
20120517,20.6
20120516,21.6
20120515,20.8
20120514,21.5
20120511,23.2
20120510,24.2
20120509,24.7
20120508,24.7
20120507,25.3
20120504,24
20120503,23.8
20120502,23.9
20120427,22.4
20120426,21
20120425,21.6
20120424,21
20120423,20.6
20120420,20.7
20120419,20.3
20120418,21.5
20120417,21.6
20120416,21.8
20120413,21.2
20120412,21.4
20120411,21.6
20120410,20.9
20120409,21.3
20120406,20.5
20120405,20.9
20120404,20
20120403,20.6
20120330,20
20120329,19.6
20120328,21.2
20120327,21.2
20120326,22.7
20120323,21.4
20120322,20.3
20120321,19.3
20120320,18
20120319,18.1
20120316,18
20120315,18.1
20120314,17.2
20120313,17.7
20120312,17.9
20120309,17.3
20120308,16.6
20120307,18
20120306,18.2
20120305,18.5
20120302,17.6
20120301,16.5
20120229,16.6
20120228,16.4
20120227,17.4
20120224,16.7
20120223,16.5
20120222,15.9
20120221,15.3
20120220,15
20120217,14.1
20120216,13.7
20120215,13.7
20120214,13.9
20120213,13.5
20120210,13.9
20120209,14.4
20120208,14.3
20120207,13.6
20120206,13.1
20120203,13.5
20120202,14.2
20120201,13.5
20120131,13.2
20120130,12.8
20120120,12.6
20120119,12.8
20120118,12.3
20120117,12.1
20120116,12.3
20120113,12
20120112,11.9
20120111,12
20120110,12.2
20120109,11.6
20120106,11.4
20120105,11.6
20120104,11.7
20120103,11.5
20111230,11.3
20111229,10.9
20111228,11.2
20111227,10.5
20111226,10.8
20111223,11.2
20111222,11.4
20111221,12
20111220,11.9
20111219,12.3
20111216,12.5
20111215,12
20111214,12.5
20111213,12.7
20111212,13.2
20111209,13.5
20111208,13.8
20111207,14
20111206,13.9
20111205,14.2
20111202,13.5
20111201,13.5
20111130,13.4
20111129,13.6
20111128,13.5
20111125,13.3
20111124,13.1
20111123,13.4
20111122,13.1
20111121,13
20111118,13.1
20111117,13.5
20111116,14.1
20111115,13.8
20111114,14
20111111,14.4
20111110,14.5
20111109,15
20111108,15.5
20111107,15.2
20111104,15.4
20111103,15.5
20111102,15.4
20111101,15.8
20111031,16.6
20111028,16.5
20111027,15.6
20111026,15.4
20111025,15.3
20111024,15.4
20111021,15.6
20111020,15
20111019,15.1
20111018,15
20111017,15.3
20111014,15.7
20111013,15.5
20111012,15.6
20111011,16.3
20111010,16.2
20111007,16.3
20111006,16.8
20111005,16.3
20111004,16.4
20111003,16.1
20110930,16.7
20110929,17.4
20110928,18.3
20110927,19.1
20110926,18
20110923,17.7
20110922,16.6
20110921,16.5
20110920,16.4
20110919,16.5
20110916,16.1
20110915,16.4
20110914,16.5
20110913,17.3
20110912,17.7
20110909,17.1
20110908,16.9
20110907,16.5
20110906,15.4
20110905,16
20110901,16.7
20110831,16.2
20110830,16.5
20110829,15.9
20110826,14.9
20110825,15
20110824,14.8
20110823,15.1
20110822,15.6
20110819,14.4
20110818,14.6
20110817,14.7
20110816,13.8
20110815,13.7
20110812,13.9
20110811,13.7
20110810,13.9
20110809,13.3
20110808,14
20110805,14.7
20110804,14.5
20110803,13.9
20110802,13.5
20110801,13.9
20110729,14
20110728,14
20110727,14.4
20110726,14.7
20110725,15.1
20110722,15.4
20110721,15.5
20110720,15.8
20110719,15.6
20110718,15.9
20110715,16
20110714,16.2
20110713,16.1
20110712,16.6
20110711,16.5
20110708,17.1
20110707,17.3
20110706,17.3
20110705,17.6
20110704,16.7
20110701,16.5
20110630,17.2
20110629,17.8
20110628,18.2
20110627,18.7
20110624,18.6
20110623,18.6
20110622,19.2
20110621,18.4
20110620,18.2
20110617,18
20110616,19
20110615,18.7
20110614,19
20110613,20.3
20110610,19.7
20110609,18.8
20110608,18
20110607,18.5
20110606,17.5
20110603,17.4
20110602,16.3
20110601,15.5
20110531,14.7
20110530,14.5
20110527,14.6
20110526,14.1
20110525,13.5
20110524,14.5
20110523,15.6
20110520,16.6
20110519,17.2
20110518,17.8
20110517,18.7
20110516,19.7
20110513,20.2
20110512,20.4
20110511,20.6
20110510,21
20110509,20.8
20110506,21.1
20110505,21
20110504,21.7
20110429,22.2
20110428,21.9
20110427,22
20110426,21.8
20110425,22.1
20110422,22.3
20110421,22.9
20110420,22.9
20110419,23.2
20110418,23.1
20110415,24.1
20110414,24.5
20110413,24.8
20110408,25.1
20110407,25.4
20110406,25.8
20110405,25.5
20110404,24.7
20110401,25.4
20110331,25.1
20110330,25
20110329,25.6
20110328,26.4
